id,label,latitude,longitude
47,"Nashville-Davidson--Murfreesboro, TN CFS Area; Tennessee",36.1658899,-86.7844432
48,"New Orleans-Metairie-Hammond, LA-MS CFS Area (LA Part); Louisiana",29.9647222,-90.0705556
49,"New York-Newark, NY-NJ-CT-PA CFS Area (CT Part); Connecticut",40.7142691,-74.0059729
50,"New York-Newark, NY-NJ-CT-PA CFS Area (NJ Part); New Jersey",40.7142691,-74.0059729
51,"New York-Newark, NY-NJ-CT-PA CFS Area (NY Part); New York",40.7142691,-74.0059729
52,"New York-Newark, NY-NJ-CT-PA CFS Area (PA Part); Pennsylvania",40.7142691,-74.0059729
53,"Oklahoma City-Shawnee, OK CFS Area; Oklahoma",35.4675602,-97.5164276
54,"Omaha-Council Bluffs-Fremont, NE-IA CFS Area (NE Part); Nebraska",41.254006,-95.999258
55,"Orlando-Deltona-Daytona Beach, FL CFS Area; Florida",27.766279,-81.686783
56,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CFS Area (DE Part); Delaware",39.952335,-75.163789
57,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CFS Area (NJ Part); New Jersey",39.952335,-75.163789
58,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CFS Area (PA Part); Pennsylvania",39.952335,-75.163789
59,"Phoenix-Mesa-Glendale, AZ CFS Area; Arizona",33.4483771,-112.0740373
60,"Pittsburgh-New Castle-Weirton, PA-OH-WV CFS Area (PA Part); Pennsylvania",40.4406248,-79.9958864
61,"Portland-Vancouver-Salem, OR-WA CFS Area (OR Part); Oregon",45.5234515,-122.6762071
62,"Portland-Vancouver-Salem, OR-WA CFS Area (WA Part); Washington",45.5234515,-122.6762071
63,"Raleigh-Durham-Chapel Hill, NC CFS Area; North Carolina",35.630066,-79.806419
64,"Remainder of Alabama, Alabama",32.806671,-86.79113
65,"Remainder of Alaska, Alaska",61.370716,-152.404419
66,"Remainder of Arizona, Arizona",33.729759,-111.431221
67,"Remainder of Arkansas, Arkansas",34.969704,-92.373123
68,"Remainder of California, California",36.116203,-119.681564
69,"Remainder of Colorado, Colorado",39.059811,-105.311104
70,"Remainder of Connecticut, Connecticut",41.597782,-72.755371
71,"Remainder of Delaware, Delaware",39.318523,-75.507141
72,"Remainder of Florida, Florida",27.766279,-81.686783
73,"Remainder of Georgia, Georgia",33.040619,-83.643074
74,"Remainder of Hawaii, Hawaii",21.094318,-157.498337
75,"Remainder of Idaho, Idaho",44.240459,-114.478828
76,"Remainder of Illinois, Illinois",40.349457,-88.986137
77,"Remainder of Indiana, Indiana",39.849426,-86.258278
78,"Remainder of Iowa, Iowa",42.011539,-93.210526
79,"Remainder of Kansas, Kansas",38.5266,-96.726486
