Colors	Colors	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"	"50,50,50"
Colors	Labels	AlbanyNY	AtlantaGA	AustinTX	BaltimoreMD	BatonRougeLA	BeaumontTX	BirminghamAL	BostonMA	BuffaloNY	CharlestonSC	CharlotteNC	ChicagoIL	CincinnatiOH	ClevelandOH	ColumbusOH	CorpusChristiTX	DallasTX	DaytonOH	DenverCO	DetroitMI	ElPasoTX	FortWayneIN	FresnoCA	GrandRapidsMI	GreensboroNC	GreenvilleSC	HartfordCT	HoustonTX	IndianapolisIN	JacksonvilleFL	KansasCityMO	KnoxvilleTN	LakeCharlesLA	LaredoTX	LasVegasNV	LosAngelesCA	LouisvilleKY	MemphisTN	MiamiFL	MilwaukeeWI	MinneapolisMN	MobileAL	NashvilleTN	NewOrleansLA	NewYorkNY	OklahomaCityOK	OmahaNE	OrlandoFL	PhiladelphiaPA	PhoenixAZ	PittsburghPA	PortlandOR	RaleighNC	otherAL	otherAK	otherAZ	otherAR	otherCA	otherCO	otherCT	otherDE	otherFL	otherGA	otherHI	otherID	otherIL	otherIN	otherIA	otherKS	otherKY	otherLA	otherME	otherMD	otherMA	otherMI	otherMN	otherMS	otherMO	otherMT	otherNE	otherNV	otherNH	otherNM	otherNY	otherNC	otherND	otherOH	otherOK	otherOR	otherPA	otherSC	otherSD	otherTN	otherTX	otherUT	otherVT	otherVA	otherWA	otherWV	otherWI	otherWY	RichmondVA	RochesterNY	SacramentoCA	SaltLakeCityUT	SanAntonioTX	SanDiegoCA	SanJoseCA	SavannahGA	SeattleWA	StLouisMO	TampaFL	TucsonAZ	TulsaOK	UrbanHonoluluHI	VirginiaBeachVA	WashingtonDC	WichitaKS
"50,50,50"	FresnoCA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0
"50,50,50"	GrandRapidsMI	0	0	0	0	0	0	13	0	0	0	0	118	181	4	0	0	0	0	0	25	0	34	0	276	0	0	0	0	137	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	2	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	78	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"50,50,50"	GreensboroNC	0	0	0	0	0	0	2	0	0	0	312	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"50,50,50"	GreenvilleSC	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"50,50,50"	HartfordCT	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	7	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"50,50,50"	HoustonTX	0	14	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	7	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	144	0	0
"50,50,50"	IndianapolisIN	0	0	0	0	0	0	0	0	0	0	0	13	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	3	0	0	1	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"50,50,50"	JacksonvilleFL	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	75	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0
"50,50,50"	KansasCityMO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	32	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	9	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"50,50,50"	KnoxvilleTN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
